School Name,Principal Name,Other Contacts,Email,Phone Number,Website,State/City
N C JINDAL PUBLIC SCHOOL 110026 (2730057),,,,,,Delhi
N C Thakar Education Campus,Pv Binny,,jyotiaedeshana@gmail.com,0261- 8155027000-9824410501-,,"SURAT, Gujarat"
N.G.International School,Christu Raj Gabriel,,chris2k2@rediffmail.com,2762- 222400-,http://www.ngis.in,"MEHSANA, Gujarat"
N.H Goel World School,Ms. Kalpana Chaudhary (Director),,im@nhgoel.com,9926560002,,chattiagarh
"N.V. Chinmaya Vidyalaya, Shegaon",Kishor Ramakant Kulkarni,,nvchinmaya@gmail.com,7265- 07265253721-,www.nvchinmayavidyalaya.com,"BULDHANA, Maharashtra"
Nachiketa Higher Secondary School Vijay Nagar,Mrs Dr Krishna Niyogi,,krisna.niyogi@yahoo.com,0761- 40411912-,,"JABALPUR, Madhya Pradesh"
Nagarjuna Public School,Shyla Raghunathrao Pawar Varkal,,npsnanded1130310@gmail.com,2462- 02462-256302--,http://www.npsnanded.edu.in,"NANDED, Maharashtra"
"Nagesh Karajagi Orchid School, Solapur.",Mrs Rupali Mahesh Hajare,,nkorchidschool@gmail.com,- 02172720886-,www.nkorchidschool.com,"SOLAPUR, Maharashtra"
Nahar Global School,Mr Yogendra Katare,,raivent.nahar@gmail.com,7412- 07412232234-,http://www.naharschools.org,"RATLAM, Madhya Pradesh"
Naimisharanya School,K B Padma Singh,,principalnaimisharanya@gmail.com,0278- 2566699-,http://www.swamigurukul.com,"BHAVNAGAR, Gujarat"
Naincy Convent School,SANJAI KUMAR singh,,naincyconventschool@gmail.com,8979333985,,Nainital
Nalanda,Mrs Pallavi Gautam Bahadurge,,nalanda.ahmednagar@gmail.com,- 02412675230-,http://www.nalandaschool.co.in,"AHMEDNAGAR, Maharashtra"
Nalanda English Medium School,Mrs Manuja Karuna Sandeep,,nalanda.manchar@gmail.com,2133- 223915-,www.nalandamanchar.com,"PUNE, Maharashtra"
Nalanda Higher Secondary School,Mrs Lata Gupta,,principalcbsekatni@yahoo.com,- 07622227218-,http://www.nalandaschoolkatni.com,"KATNI, Madhya Pradesh"
Nalanda Public School,Mrs Mayurika Bhisey,,sangeetamathur2410@gmail.com,0761- 2673823- 4043851,http://www.sohamfoundation.org,"JABALPUR, Madhya Pradesh"
Nalanda Vidyalaya,Jayesh Gami,,nice_morbi@rediffmail.com,2822- 222302- 329897,,"SURENDRANAGAR, Gujarat"
Nand Vidya Niketan,Radhey Shyam Pandey,,nandvidyaniketan@gmail.com,0288- 2755527-,http://www.sssvn.org,"JAMNAGAR, Gujarat"
Nanduba English Academy,Monika Sharma,,nandubaenglishacademy@gmail.com,- 02612260005-,http://nandubaenglishacademy.in/,"SURAT, Gujarat"
Nanhey Kadam,,,Nanhekadam46@gmail.com,9711638101,,Play Schools
Nanji Kalidas D A V Public School,Vijay Arora,,nkdavprincipal@gmail.com,2876- 268322- EXT 322,www.nkdavschoolmehtagroup.g,"JUNAGADH, Gujarat"
Narayan Vidyavihar,Thakar Maheshkumar Nanhalal,,nvv_bharuch@yahoo.co.in,- 02642228919-,http://www.nvvbharuch.org,"BHARUCH, Gujarat"
"Narayana E Tchno School , Indore",Mamta Dwivedi,,indoreab523a@narayanagroup.com,- 9154160430-,www.narayanaschools.in/indore,"INDORE, Madhya Pradesh"
Narayana E Techno School,Mannem Latha,,mumbrv.etechno@narayanagroup.com,022- 65566677-,http://www.narayanagroup.com/,"MUMBAI, Maharashtra"
Narayana E-Techno School,Madhuri Ayyella,,borivali@narayanagroup.com,- 7208048998-,https://www.narayanagroup.com/,"MUMBAI, Maharashtra"
Narayana Vidyalayam,Shraboni Banerjee,,banerjishraboni@gmail.com,8888- 864874- 287225,http://www.adarshschool.c,"CHANDRAPUR, Maharashtra"
Narmada Calorx Public School,Aarti Dua Kapoor,,ncps.bharuch@rediffmail.com,- 02642-232454-,,"BHARUCH, Gujarat"
Narmada Valley Academy,Dr Varsha Shiju,,principalnva@gmail.com,7570- 220088-,,"HOSHANGABAD, Madhya Pradesh"
Narmada Valley International School,Mrs Neelima Badjatya,,milindshukla@gmail.com,7280- 290073- 222772,http://www.narmadavalley.com,"KHARGONE, Madhya Pradesh"
Naseeba HIll Academy,,,,,,Dehradun
Nashik Cambridge School,Shunmugasunder T,,nashikcambridge2004@rediffmail.com,0253- 2377638-,,"NASHIK, Maharashtra"
Nath Valley School,Sh Ranjit Kumar Dass,,principal@nathvalleyschool.com,0240- 2379247- 334800,http://www.nathvalleyscho,"AURANGABAD, Maharashtra"
National Children Hr Sec School,Dr Parvinder Kaur,,tarvinder_sachdeva@yahoo.com,0751- 6499879- 2367069,,"GWALIOR, Madhya Pradesh"
national hill view,SHOBHANA PRABHAKARAN,,nhvpsbsk@gmail.com,95354 31166,,Bangalore
National Public School,Mrs Suman Kochhar,,npsindore1@rediffmail.com,0731- 07312620451-,http://www.npsindore.edu.in,"INDORE, Madhya Pradesh"
Natures School,Mrs K Rani Rao,,naturesschoolkatni@gmail.com,7622- 07622-228747-,http://www.naturesschool.com,"KATNI, Madhya Pradesh"
Nav Krishna Valley School,Mrs Sangeeta Pagnis,,principalem@surajfoundation.org.in,0233- 2645577-,http://www.surajfoundation.org.in,"SANGLI, Maharashtra"
"Navin Vaishnav Vidhyamandir, Khargone",Ajay Kumar Gupta,,ajaygupta1203@gmail.com,7282- 282382-,,"KHARGONE, Madhya Pradesh"
Navjeevan Convent & English Primary School,Mr Muzammil Aqeel Sayeed,,nawkhare.lokanand@gmail.com,- 07186236021-,,"BHANDARA, Maharashtra"
Navjyoti Global Foundation School & Day Care,,,,,,Gurugram
Navjyoti Global Foundation school and day care,,,principal@navjyotiglobal.com,8130341133,,Play Schools
Navnidh Hassomal Lakhani Public School,Amrita Motwani,,nhlpsshn@gmail.com,0755- 07552640111- 2640111,www.navnidhbhopal.com,"BHOPAL, Madhya Pradesh"
Navnirman High English Medium School,Najama Salim Mujawar,,navnirmanhigh@gmail.com,0235- 02352228441-,www.navnirmanhigh.in,"RATNAGIRI, Maharashtra"
Navrachana Hr Sec School,Ms Suprabha Menon,,bbaksi@navrachana.edu.in,0265- 2791643- 22950,,"VADODARA (BARODA), Gujarat"
Navrachana International School,Theophane D Souza,,nis@navrachana.ac.in,0265- 2253851-,http://www.lakefordschool.com,"VADODARA (BARODA), Gujarat"
Navy Children School,OSHIMA MATHUR,"Monisha, Vice Principal",principal.ncsd@gmail.com,"9810138563, 8390611668",http://www.npsnavy.com,"Delhi, Chanakyapuri(2780010)"
Navyug English Medium School,Manisha Vijaykumar Anchule,,nvtcbse2021@gmail.com,0- 02145222344-,http://www.navyugedu.org,"RAIGAD, Maharashtra"
nazareth,Abhinav Nazareth School,,,90360 43655,,Bangalore
NC Jindal Public School,Dr D K Pandey,,ncjindalps@yahoo.co.in,9873160602,,delhi
Neeri Modern School,Uday Thosar,,neerimodskool@gmail.com,0712- 2247769-,http://www.NeeriModernSchoolNagpur.org,"NAGPUR, Maharashtra"
Neerja Modi School,Indu Dubey,Kshipra,indu@nmsindia.org,9571920000,,Jaipur
Neev - The Foundation School,,,,,,Gurugram
Nehru Montessori Higher Secondary School,Mercy John Pulinelukumkalayil,,nmssschool@gmail.com,7325- 243440-,,"BURHANPUR, Madhya Pradesh"
Nehru World School,Mr. Arunabh Singh,,arunabh@nehruworldschool.com,9810518518,,ghaziabad
Neiil World School,Dennis Augustine,,morena@neiilworldschool.com,7532- 07532302100-102- 25888,http://www.neiilworldschool.com,"MORENA, Madhya Pradesh"
Neo Convent School,,,,,,
Nest pre school Gurgaon Kirti Nagar,,,Gyan.sankul@yahoo.co.in,,,Play Schools
Neuron Labs School,Chitra Kumar,,neuronlabsschool@gmail.com,- 9545008800-,http://www.neuronlabsschool.org,"PUNE, Maharashtra"
New Beginning International School,Mr Ganesh R Tarate,,newbeginningsawangi@gmail.com,0- 9604433059-,,"AURANGABAD, Maharashtra"
"New Bombay City School, Cbse",Avneet Kaur,,asppublicschool@gmail.com,022- 9321702662-,http://www.asppublicschool.in,"MUMBAI, Maharashtra"
New Cambridge Public School,,Prasanna Panicker,prasannapanicker213@gmail.com,8123639217,,
"New Catholic Mission School, Jhabua",Fr Santiago John,,newcatholicmissionschooljhabua@yahoo.in,7392- 07392-244675-,http://www.ncmsjhabua.in,"JHABUA, Madhya Pradesh"
New Delhi Public School,Ramvir Singh,,rizakramgaur@gmail.com,7532- 293022-,http://www.xyz.com,"MORENA, Madhya Pradesh"
NEW DOON BLOSSOMS SCHOOL,Mrs. PRATIBHA SHARMA,,,9412046855,,Dehradun
New English Academy Of Genius,Shikha Chatterjee,,bshikha98@yahoo.com,7152- 253592-,,"WARDHA, Maharashtra"
New English School,Mrs Shabnam Salim Momin,,principal.nes111@gmail.com,2133- 235106-,http://www.newenglishschool.in,"PUNE, Maharashtra"
New Era Academy,Hardik Acharya,,harikrushnatrust@yahoo.in,- 02763269366-,,"GANDHINAGAR, Gujarat"
New Era English School,Mr Kamble Sanjay Panditrao,,rajshirale24@gmail.com,0- 09403217603-,,"PARBHANI, Maharashtra"
New Era Global School,Mr Micheal Sabastian,,hardikpadaliya@gmail.com,- 9712188000-,www.neweraglobalschoool.org,"RAJKOT, Gujarat"
New Era High School,Mrs Leena K Nair,,sskelkar23@rediffmail.com,0265- 2784597-,http://www.rajashreesmm.c,"VADODARA (BARODA), Gujarat"
New Era Higher Secondary School,Mithun Vishwas,,dewasnewera@gmail.com,7272- 256665-,,"DEWAS, Madhya Pradesh"
New Era Professor Academy -Kevadra,Mintu B Ratanpara,,professoracademyksd@gmail.com,- 9824288298-,https://professoracademy.org/,"JUNAGADH, Gujarat"
New Era Public School,Mrs Seema Jadeja,,newerapublicschool2004@yahoo.com,2822- 295502-,http://www.newerapublicsc,"RAJKOT, Gujarat"
New Era School,Dave Parulben T,,neweraenglishsanand@gmail.com,- 02717222194-,http://newerasanand.com,"AHMEDABAD, Gujarat"
New Himalaya Educational Academy,Suhail Ahammed Am,,nheacademy@gmail.com,0739- 8718952952-,,"JHABUA, Madhya Pradesh"
New Hizon Scholars School,Mrs Rachana Kamath,,tanuja.bhat@newhorizonsms.com,022- 27793509-,,"THANE, Maharashtra"
New Horizon Public School,Anand Bangal,,30180@cbseshiksha.in,022- 2746156768-,http://www.newhorizonps.com,"RAIGAD, Maharashtra"
New Horizon Scholars School,Dr Jyoti Nair,,directornewhorizon@gmail.com,022- 25974348-,http://www.newhorizonscholarsthane.com,"THANE, Maharashtra"
"New Horizon School, Aurnal",Patil Suneeta Dattaram,,sunitadpatil1975@gmail.com,2327- 223220-,,"KOLHAPUR, Maharashtra"
New Krishna Model Public School,,,,,,
New Orange City Convent,Madhuri Ganesh Bhonde,,noccwarud@gmail.com,7229- 07229-232991--,http://www.noccwarud.com,"AMRAVATI, Maharashtra"
New Oxford Junior College,Mrs Shailja Bhopale,,khatrisunil@me.com,0734- 07342503205--,http://www.newoxfordjc.org,"UJJAIN, Madhya Pradesh"
New Oxford Public School,,,,,,
New Pune Public School,Mrs Suhas Pravin Tohgaonkar,,newpunepublicschool@yahoo.in,- 02027659945-,http://newpunepublicschool.com,"PUNE, Maharashtra"
New Seeta Public School Deori,Mr Ashok Surajlal Uikey,,ravikharwade@gmail.com,7199- 225530-,,"GONDIA, Maharashtra"
New Siddharth Public School,Mrs.Mona Bharaktiya,,nsps@rkdfgroupindore.org,- 07316535090-,,"INDORE, Madhya Pradesh"
New Taiyabiyah High School,Murtaza Hussain,,huzaifazoebbhai@attalim.net,7412- 235188-,,"RATLAM, Madhya Pradesh"
New Times International School,Ms Ritika Sudhir Naidu,,ntischoolpune2017@gmail.com,020- 9637192555-,http://www.ntischoolpune.org,"PUNE, Maharashtra"
New Vision Public School,Mr Pravin Manikrao Shelke,,newvisionschool@ymail.com,2446- 245678(02446)--,,"BEED, Maharashtra"
New Wisdom International School,Mrs Jayarani J,,nwisoffice@gmail.com,- 08308309694-,http://www.newwisdomschool.com,"PUNE, Maharashtra"
New-Age Public School,Bilquis Husain,,newagepublic@gmail.com,7791- 258567-,,"NARSINGHPUR, Madhya Pradesh"
"Nimar Cambridge High School,",Kapila Gupta,,www.kapilagupta1211@gmail.com,7297- 244105-,,"DHAR, Madhya Pradesh"
Nimar Cambridge Public High School Dhamnod,Mr Vishal Patil,,santosh.nana55@gmail.com,7291- 233217-,http://www.ncpsdhamnod.com,"DHAR, Madhya Pradesh"
Nirma Vidya Vihar,Mrs Sunita Sehgal,,sumitra.nirma@gmail.com,079- 65102000-,,"AHMEDABAD, Gujarat"
Nirma Vidyavihar Bodakdev,Mrs Ida Cordeiro,,school@nirma.co.in,- 07926859801-,http://www.nirmavidyavihar.co.in/bodakdev,"AHMEDABAD, Gujarat"
Nirmal Bright Future School,Jayshree Vishnu Kadam,,nirmalbfschool@gmail.com,0242- 02429-223555--,,"AHMEDNAGAR, Maharashtra"
Nirmal International School,Ganesh Karansing Rajput,,principal@nirmalintschool.org,2596- 245123-,,"JALGAON, Maharashtra"
Nirmal Jyoti Higher Secondary School,Sr Grace,,njhsbina@gmail.com,7580- 222550-,,"SAGAR, Madhya Pradesh"
Nirmal Public Achool,Yogesh Singh Sisodiya,,nirmal_publicschool@rediffmail.com,0716- 292222-,,"CHHINDWARA, Madhya Pradesh"
Nirmal Vidhyapeeth,Ashish Jha,,nirmalvidhyapeeth@gmail.com,7280- 290019-,,"KHARGONE, Madhya Pradesh"
Nirmala convent higher sec School,,Minimol Thomas,minimolthomas8@gmail.com;,81092 12779,,
Nirmala Convent Higher Secondary School,Veena Rajan,,srdanacsc@gmail.com,7591- 253054-,,"VIDISHA, Madhya Pradesh"
Nirmala Convent School,Sini Joseph,,ncsrajkot@gmail.com,0281- 2451133-,http://www.ncsrajgarh.org,"RAJKOT, Gujarat"
"Nirmala Convent School, Ratlam(M.P.)",M Aruna Kumari,,shantimsi@gmail.com,7412- 267447-,,"RATLAM, Madhya Pradesh"
Nirmala English Medium School,Sr Lilly Paul,,deepikasmmi@yahoo.com,0716- 2244566-,,"CHHINDWARA, Madhya Pradesh"
"Nirmala Senior Secondary School, Mandla",Lalita Kujur,,nirmalasssmdl@gmail.com,- 9479169672-,http://www.nirmalaschoolmandla.com/,"MANDLA, Madhya Pradesh"
Nirman High School,Ms Kalpana Bakshi,,kalpana.bakshi@rediffmail.com,079- 40027581-,http://www.nirmanhighschool.com/,"AHMEDABAD, Gujarat"
nitte international school,Suman Nitte International School,,,81978 83671,,Bangalore
Nk Academy,Aruna Rao,,annu_emrald@yahoo.com,0712- 2612334-,,"NAGPUR, Maharashtra"
NK bagrodia global school,,,,,,
NK Bagrodia PublicSchool,Mr Prashant Parashar B,,principalnkbpsrohini@gmail.com,9650239555,,delhi
NM Public School noida,,Smita Kashyap,,7982287879,,
No 1 Air Force School,Mrs Toshima Singh Rajput,,aktripathiafs@gmail.com,0751- 2470809- 471191,,"GWALIOR, Madhya Pradesh"
Noble International Academy,Mr Anuroop Sharma,,nobleacademy2010@yahoo.com,0741- 9644283132-,http://www.noblegroups.net/,"RATLAM, Madhya Pradesh"
Noble Public School,Mrs Koshy Jacob,,poorvajain177@gmail.com,7582- 231254-,,"SAGAR, Madhya Pradesh"
"Noel School,",Mr Anosh Manwar,,anoshmanwar@gmail.com,0724- 2454557-,http://www.noelschool.org,"AKOLA, Maharashtra"
Noida International Public School,,,,,,
Noida Public School,,,,,,
Nootan International English School,Rohini R Patil,,principal.nies2017@gmail.com,2341- 222738-,,"SANGLI, Maharashtra"
NORTH POINT CHILDREN'S ACADEY,Mr. Surendra Singh Rautela,,,9897182876,,Dehradun
North Valley Public School,Kapil Prasant Sharma,,kps.principal5@gmail.com,7537- 9644047489-,,"MORENA, Madhya Pradesh"
Northstar Global School,Pankaj Malegaonkar,,ashishpatole777@gmail.com,0241- 8983510460-,www.northstarglobalschool.com,"AHMEDNAGAR, Maharashtra"
Notre Dame School,Sr Mary Shylaja,"Sr Tanya, Principal",ndsvasai@gmail.com,9354110564,,"THANE, Maharashtra"
Novel International School,Manasi V Hasabnis,,office@novelinternationalschool.com,- 02067171717-,www.novelinternationalschool.com,"PUNE, Maharashtra"
Nri Global Discovery Academy School,Mrs Archana Sharma,,venu.agarwal@nrigroupindia.com,0755- 6100000-,http://www.globaldiscoveryacademy.com/,"BHOPAL, Madhya Pradesh"
NRI Global Discovery School,,,,,,
Nutan Public School,Miss Deepali Varma,,contact@nutanschools.com,- 0265-2714425-,http://www.nutanschools.com,"VADODARA (BARODA), Gujarat"
Nyalkaran English Medium School,Manish Parmar,,jpvc_mothercare@rediffmail.com,0269- 246120-,,"KHEDA, Gujarat"
oakwood School,,,,,,Nainital
Oasis English Medium School,Mrs Shobha Bhalsing,,oasiskedgaon@gmail.com,- 02412552005-,,"AHMEDNAGAR, Maharashtra"
Ojas Global School,Ms Kamini Joshi,,ojascbseinfo@gmail.com,- 07632244019-,www.ojas.edu.in,"BALAGHAT, Madhya Pradesh"
Ojas International School,Joyshreelekha Chakrobarti,,oisjetpur1@gmail.com,2823- 02823271294--,http://ojasschool.com,"RAJKOT, Gujarat"
Ojaswini School Par Excellence,Mr Vishakha Sharma,,ojaswinischool14459@gmail.com,7812- 07812221457-,www.ojaswinischool.in,"DAMOH, Madhya Pradesh"
Olympus High,Mrs Prachi Raghuwanshi,,Pplolympushigh@gmail.com,7592- 9424495888-,,"VIDISHA, Madhya Pradesh"
Olympus School For Excellence,Vidya Deepak Chauhan Rude,,olympuseduindia@gmail.com,- 9145141111-,http://www.olympusedu.com/,"PUNE, Maharashtra"
Om International School,Mr Jitendra Singh Kaurav,,suree10in@gmail.com,0751- 07360-20500-,,"SHAJAPUR, Madhya Pradesh"
Om Landmark School,Ivo Alban Lowden,,sunil.keshri@rediffmail.com,079- 23273007-,http://www.omeducationtrust.com,"GANDHINAGAR, Gujarat"
Om Sai Central Public School,Mrs Durgavati Lonare,,oscpsas@gmail.com,7165- 9770066654-,www.osipss.in,"CHHINDWARA, Madhya Pradesh"
Om Shanti English Medium School,Deepa Sharma,,principal@osem.ac.in,2822- 227979-,http://www.osem.ac.in,"RAJKOT, Gujarat"
"Om Vidyaniketan School,Umrer",Kanchan Kirti Mudgal,,chaudharysangita06@gmail.com,7116- 244108-,,"NAGPUR, Maharashtra"
OMB Interntaional School,Deepak Sengar,,,9808080276,,
Omkar English Medium School,Aparna J Wagh,,aparnaw11@gmail.com,0251- 2800057-,,"THANE, Maharashtra"
Omkar International Academy,Mrs.Sushila V. Mackwana,,omkarint12@gmail.com,- 7284843400-,http://www.omkarint.com,"PANCHMAHAL (GODHRA), Gujarat"
Ompee World School,Mr. Yogender Hooda,,admission@ompeeworldschool.com,911242291717,,Gurugram
Omshanti Academy,Ms Aruna Sharma,,rahulsharma488@gmail.com,- 07271-275608-,http://www.omshantischool.com,"DEWAS, Madhya Pradesh"
OP Jindal Morden School,Mr. RK Trivedi,,opjsraigarh@jspl.com,9826361056,,haryana
Open Sky Academy,Ravi Talreja,,openskyacademy@gmail.com,7271- 9685828221-,http://openskyacademy.com/,"DEWAS, Madhya Pradesh"
OPG World School,,Suman Batra,suman@opgworldschool.com,9999805130,,
Orchid City International School,Chayanika Abhijit Sen,,orchidschoolnavsari@gmail.com,- 07212663132-,HTTP://WWW.ORCHIDCIS.COM,"AMRAVATI, Maharashtra"
Orchid Public School,Mrs Sujata Gandhi,,spmcbscschool@gmail.com,7112- 9422815972-,http://www.orchidpublicschool.edu.in,"NAGPUR, Maharashtra"
Orchid Techno School,Shaikh Anjum Bano,,orchid_techno@yahoo.co.in,- 02402040190-,www.orchidschool.co.in,"AURANGABAD, Maharashtra"
Orchids The International School,Sumitra Goswami,,principal.koparkhairaine@orchids.edu.in,- 02260603135-,http://www.orchidsinternationalschool.com,"MUMBAI, Maharashtra"
"Orchids The International School, Vikhroli",Dr Aarti Dua,,principal.oisvkh@orchids.edu.in,- 7208036888-,www.orchidsinternationalschool.com,"MUMBAI, Maharashtra"
Orhcids The Internatinal School,Dr Kavita Nagpal,,principal.oisp@orchids.edu.in,022- 23435488-,http://www.orchidsinternationalschool.com/mumbai-b,"MUMBAI, Maharashtra"
Oriental English Higher Secondary School,B K Sonwane,,oriental.school2010@gmail.com,- 07633276615-,http://www.orientajgroups.org,"BALAGHAT, Madhya Pradesh"
Orion English Medium School,Sushma Shrinath Kanchi,,sushma_kanchi@yahoo.in,0257- 2239805-,,"JALGAON, Maharashtra"
Orion International School,Mrs Lakshmi K Peter,,bhawana.trivedi@yahoo.com,0755- 4038321- 3108190,http://www.orionschool.in,"BHOPAL, Madhya Pradesh"
ORLEANS - THE SCHOOL 110085 (2730654),Parul Gupta,,,9873390161,,Delhi
Oscar Public School,,,,,,Delhi
Oxford English School,Mr Joyan Jose Kozhikode,,jagdishkath@gmail.com,2766- 291776-,,"PATAN, Gujarat"
Oxford International School,Mr Sanjay Joshi,,oxfordinternationalschool41@gmail.com,- 07312882574-,www.oxfordn.org.in,"INDORE, Madhya Pradesh"
Oxford Junior College,Manita Pokharna,,RINKUSUNIL.SHRI@GMAIL.COM,0734- 2516561- 524046,,"UJJAIN, Madhya Pradesh"
Oxford Public School,Ms Rekha Singh,,rekha_singhr123@yahoo.com,0751- 7224002777- 427857,http://www.rdins.in,"GWALIOR, Madhya Pradesh"
Oxford The Global School,Anil Apparao Govande,,oxfordemsnnd@gmail.com,- 9146085949-,,"NANDED, Maharashtra"
Oxford World School,Kavita K Roy,,principal@oxfordworldschool.com,- 7263000669-,http://www.oxfordworldschool.com,"PUNE, Maharashtra"
Oyster English High School,Sh Manpreet Singh Johar,,joharmanpreetsingh@yahoo.co.in,0240- 2100265-,,"AURANGABAD, Maharashtra"
P E S Central School,Bhaskar Bhaurao Pawar,,pescs@rediffmail.com,022- 27571989-,,"MUMBAI, Maharashtra"
P K International School,Suvarna Sachin Tikone,,pkinternational39@yahoo.com,1976- 02135619100-,http://www.pkinstitute.edu.in,"PUNE, Maharashtra"
P P Savani Chaitanya Vidya,Mr Pranay V Jardosh,,principalppscvs@gmail.com,0261- 6503377-,http://www.ppsavani.org,"SURAT, Gujarat"
P R Pote Patil International School,Sachin Mahadeorao Durge,,prpotepatilint.school@gmail.com,0721- 2970339-,,"AMRAVATI, Maharashtra"
P. V. Lakhani English Medium School,Sabana Safakat Chaus,,info.pvlakhanischool@gmail.com,- 09737061399--,http://www.pvlakhanischool.com/,"NAVSARI, Gujarat"
P.Chandra International School,Mr Lawrance Alick Xavier,,xlawrance@yahoo.in,2696- 290443-,,"ANAND, Gujarat"
P.D. Jain Public School,Mr.Adityakumar H. Walli,,pdjschool@gmail.com,- 07252226251-,,"WASHIM, Maharashtra"
P.D. Memorial School,,,,,,
P.K. International English School,Mrs Deepali Upendra Jugoolkar,,pkinternationalschool.2011@rediffmail.com,020- 65290223-,http://www.pkies.com,"PUNE, Maharashtra"
P.K.R Jain Vatika Sec Sr School,,Parveen,,9255229922,,Ambala
P.M.English Medium School,Mr Roby Joseph,,pmschooldhinoj@yahoo.com,- 02734-263055-,http://www.pmschool.net,"PATAN, Gujarat"
P.P.Savani School,Mr Pankaj Sharma,,ppsavaniank@gmail.com,091- 9925872000-,http://www.ppsavaniank.com,"BHARUCH, Gujarat"
"P.S. Deshmukh Memorial Academy,",Mrs Rashmi Mangesh Tambdey,,rashmitambde@gmail.com,2527- 273614-,,"THANE, Maharashtra"
P.S.Bane International School,Ms Neha Pradeep Pawar,,psbaneinternational@gmail.com,- 02354262026-,www.psbis.in,"RATNAGIRI, Maharashtra"
Padamshri Shankar Bapu Apegaonkar English School,Padma Ravindra Jawlekar,,psbaenglishschool@rediffmail.com,0240- 2324560-,,"AURANGABAD, Maharashtra"
Pakiza Public School,Om Shankar Shukla,,cbsepakizapublicschool@gmail.com,- 9893236603-,http://www.pakizapublicschool.com,"INDORE, Madhya Pradesh"
Pallavan,,,sapnasyal@pallavan.com,+91- 8800311195,,Play Schools
Panacea International School,Mrs Preetha Menon,,principal@panaceainternationalschool.org,- 9491538249-,http://www.panaceainternationalschool.org,"NANDED, Maharashtra"
Panchsheel Academy,Hukumsingh Rathore,,panchsheel44@gmail.com,7425- 9826048495-,http://www.panchsheelacademy.com,"MANDSAUR, Madhya Pradesh"
Panchshil Shikshan Sanstha,Neha Charudatta Joshi,,up.priyakarini@gmail.com,- 02325243111-,http://www.hem.com,"KOLHAPUR, Maharashtra"
"Panchvati English Medium School,",Ashishkumar J Khule,,khule.ashish15577@gmail.com,0253- 9421114666-,,"NASHIK, Maharashtra"
Pandit Narmada Prasad Memorial Public School,Mrs Meetu Shrivastav,,panditnarmada@yahoo.com,- 9926285695-,http://www.pnpmpschool.in,"NARSINGHPUR, Madhya Pradesh"
Pandit Ramlal Sharma English Medium School,Mr Sunil Kumar Sharma,,ptrlssharma@yahoo.in,7574- 200400-,,"HOSHANGABAD, Madhya Pradesh"
Panipat Institute of Engineering & Technology,Hariom Tayal,,,919354908878,,Panipat
Pankaj Global Public School,Milind Patil,,patibaidhar@gmail.com,2586- 7387367505-,,"JALGAON, Maharashtra"
Param Poojya Shree Ramkrishna Saraswati Gurukul,Shukla R. N.,,gurukuljal@sancharnet.in,01482- 02572350513-,,"JALGAON, Maharashtra"
Paramount Academy,Akhilesh Patidar,,akhilesh.patidar13134@gmail.com,7285- 232134-,http://www.ramjasap.com,"KHARGONE, Madhya Pradesh"
Paras Public School,Mr Amrendra Singh Gurjar,,ppsberasia@gmail.com,- 9826644759-,http://ppsberasia.com/index.php,"BHOPAL, Madhya Pradesh"
Paras Vidya Vihar,Mrs Ritu Soni,,ishita1954@yahoo.com,7582- 260521- 224974,,"SAGAR, Madhya Pradesh"
parathana,Sheela - Principal Prarthana School,,,98868 43764,,Bangalore
parathana school,Sheela - Principal Prarthana School,,,98868 43764,,Bangalore
Parents Pride International School,Mr Pankaj Ojha,,ppintschool@rediffmail.com,- 8959063001-,,"KHARGONE, Madhya Pradesh"
Parikrama Public School,James Van Maanen,,parikrama_psch@yahoo.in,2487- 232127-,,"AHMEDNAGAR, Maharashtra"
Patel Public School,Krishan Chandra Upadhyay,,sdp106@gmail.com,7394- 234777-,,"JHABUA, Madhya Pradesh"
Pathfinder Boarding school,,,,,,Nainital
Pathways Early Years,,,sunita.saini@pathways.in,+91- 9650566556,,Play Schools
Pathways School,Sangeeta Krishnan Nag,,school.gurgaon@pathways.in,911244872000,,Gurugram
Pathways World School,,,,,,"Gurgaon, Gurgaon"
Pathways World School Gurgaon,"sangeeta krishnan Nag 956
01 06333  sangeeta.nag@pathways.in",,sangeeta.nag@pathways.in,919818666677,,Gurugram
Pathways World School_ICSE,,,,,,"Gurugram, Gurgaon"
Patidar International School,Parampreet Kaur,,patidarinternationalschool01@gmail.com,0734- 2900089-,,"UJJAIN, Madhya Pradesh"
"Patra Gurukul International School,",Purushottam Rao Yele,,info@patragurukul.com,7280- 222312-,,"KHARGONE, Madhya Pradesh"
Patwa Academy For Education,Fakhruddin Ali,,paeneemuch@yahoo.co.in,7423- 268435-,,"NEEMUCH, Madhya Pradesh"
Pawar Public School,Mrs Anjali Subodh Gurjar,,principal@ppsnandedcity.com,020- 020-67526111--,http://www.ppsnandedcity.com,"PUNE, Maharashtra"
"Pawar Public School,",Mrs Deepa Shailesh Shanbhag,,principal@ppshinjewadi.com,020- 65200223-,http://www.ppshinjewadi.com,"PUNE, Maharashtra"
Pearl School Of Excellence And Value Education,Mrs Priti Vaswani,,pearlschoolmundra@gmail.com,- 9909810910-,http://www.pearlschools.net,"KUTCH, Gujarat"
Pearls Academy,Nayer Iqbal,,info@pearlsacademy.co.in,- 09860647784-,WWW.PEARLSACADEMY.CO.IN,"AURANGABAD, Maharashtra"
